arquivo,quantidade_testes,depende_qt,resultado_auditoria,falhas,tratamento
tests/test_auto_detect_basic.py,8,não,8 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_auto_detect_enhanced.py,6,não,6 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_auto_detect_integration.py,7,não,7 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_auto_detect_perfect.py,9,não,9 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_broadphase.py,14,não,14 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_commands_layers.py,2,não,2 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_convex_decomp.py,19,não,18 aprovados; 1 falharam,1,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_edge_utils.py,8,não,7 aprovados; 1 falharam,1,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_expand_contract_command.py,1,não,1 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_export_preview.py,2,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_exporters.py,12,não,8 aprovados; 4 falharam,4,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_groups.py,2,não,2 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_handle_command.py,1,não,0 aprovados; 1 falharam,1,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_lasso.py,7,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_magnetic_lasso.py,15,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_mask_utils_curvature.py,7,não,6 aprovados; 1 falharam,1,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_mask_viewer.py,9,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_pen_tool.py,19,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_polygonal_lasso.py,10,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_rect_ellipse.py,14,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_sat2d.py,13,não,Coleta bloqueada: imports históricos project e polygon_edges não existem na API atual.,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_scene_layers.py,2,não,2 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_smoothing.py,2,não,2 aprovados; 0 falharam,0,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
tests/test_tools_integrated.py,7,sim,Não executado no ambiente de auditoria: PySide6 ausente,,"Preservar, reavaliar expectativa e adaptar sem apagar cobertura."
