status_git,caminho,classificacao,risco,acao_obrigatoria
 M,CHANGELOG.md,documentacao,Baixo,Revisar contra o código e incluir quando não fizer afirmações não validadas.
 M,README.md,documentacao,Baixo,Revisar contra o código e incluir quando não fizer afirmações não validadas.
 D,SYNTAX_FIXES.md,documentacao,Baixo,Revisar contra o código e incluir quando não fizer afirmações não validadas.
 M,__pycache__/app.cpython-310.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,__pycache__/integration_test.cpython-310-pytest-9.0.1.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,__pycache__/integration_test.cpython-311-pytest-9.0.1.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,__pycache__/test_comprehensive_all_functions.cpython-310.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,__pycache__/test_maskviewer_fixed.cpython-311-pytest-9.0.1.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,__pycache__/test_safe_demo.cpython-310-pytest-9.0.1.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,__pycache__/test_safe_demo.cpython-311-pytest-9.0.1.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 M,app.py,codigo_fonte_modificado,Alto,Preservar exatamente o estado atual. Criar teste de caracterização antes de refatorar ou substituir.
 D,bench/auto_detect_bench.py,codigo_fonte_excluido,Alto,"Recuperar do histórico e verificar funcionalidade exclusiva, chamadas dinâmicas e substituto equivalente."
 D,bench/benchmark_results.csv,artefato_gerado,Baixo,Preservar como evidência histórica; não versionar no baseline limpo.
 M,config.json,configuracao,Médio,"Revisar dados pessoais, versões, caminhos e efeito no build/testes antes de consolidar."
 D,integration_test.py,codigo_fonte_excluido,Alto,"Recuperar do histórico e verificar funcionalidade exclusiva, chamadas dinâmicas e substituto equivalente."
 D,mask_viewer_test.log,artefato_gerado,Baixo,Preservar como evidência histórica; não versionar no baseline limpo.
 D,physics_demo.py,backup_ou_demo_excluido,Médio,Arquivar fora do código ativo e comparar com a implementação atual antes de qualquer remoção definitiva.
 D,polygontool_full_test.log,artefato_gerado,Baixo,Preservar como evidência histórica; não versionar no baseline limpo.
 M,pyproject.toml,configuracao,Médio,"Revisar dados pessoais, versões, caminhos e efeito no build/testes antes de consolidar."
 M,pytest.ini,configuracao,Médio,"Revisar dados pessoais, versões, caminhos e efeito no build/testes antes de consolidar."
 M,src/collision/__pycache__/sat2d.cpython-310.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
 D,src/collision/__pycache__/sat2d.cpython-311.pyc,cache_compilado,Baixo,Preservar apenas no ZIP/bundle histórico; remover do versionamento somente no baseline limpo.
